ID,POS,#,Name,Nickname,Age,NAT,COB,HT,WT,B,T,Schl,CommSch,COMP,HSC,PIT,G/F,VELO,Slot,PT,G,GS,PA,AB,H,2B,3B,HR,RBI,R,BB,SO,EBH,AVG,OBP,SLG,RC,RC/27,ISO,wOBA,OPS,BABIP,WPA,WAR,PI/PA,SB,CS,G,GS,W,L,SV,BS,HLD,IP,HA,HR,R,ER,BB,K,ERA,BABIP,WHIP,RA/9,HR/9,H/9,BB/9,K/9,K/BB,QS,CG,SHO,GO%,FIP,WPA,WAR,rWAR,DEM,Sign,SctAcc,Year,Notes
33936,SP,6,ABE ABINGDON,DOUBLE A,16,USA,"Burlington, KS","5' 9""",140 lbs,Right,Right,Burlington,-,Average,HS Sophomore,3,NEU,85-87 Mph,Normal (3/4),Normal,20,20,104,101,41,11,1,3,28,40,2,4,15,0.406,0.417,0.624,26.1,10.5,0.218,0.441,1.041,0.404,0,1.1,0,18,6,12,8,5,1,0,0,0,60,47,3,18,16,25,70,2.4,0.267,1.2,10.9,0.5,7,3.8,10.5,2.8,0,0,0,0,2.82,0,1.7,2,Slot,Hard,Average,,
34149,C,12,ABE WEAVER,,18,USA,"Dickson, TN","5' 10""",165 lbs,Switch,Right,Hillsboro,Carolina Poly,Average,HS Senior,1,FB,80-83 Mph,Normal (3/4),Normal,24,24,122,104,41,12,0,1,28,34,13,3,13,0.394,0.467,0.538,28.4,11.1,0.144,0.44,1.006,0.392,0,1.3,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Hard,Average,,
34041,C,5,ADAM ABRAHAM,,17,USA,"Rutherfordton, NC","5' 10""",170 lbs,Right,Right,Rutherfordton,-,Average,HS Junior,1,FB,80-83 Mph,Normal (3/4),Normal,25,25,126,107,44,11,2,1,27,36,15,4,14,0.411,0.484,0.579,32.6,12.8,0.168,0.46,1.064,0.413,0,1.6,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,,
37543,SP,33,ADAM GRAYSON,,15,USA,"Paterson, NJ","5' 10""",165 lbs,Right,Right,Paterson,-,Average,HS Freshman,4,NEU,83-85 Mph,Over the Top,Normal,9,9,49,45,17,3,0,3,16,15,1,7,6,0.378,0.388,0.644,11.4,9.9,0.267,0.427,1.032,0.378,0,0.5,0,1,1,15,15,6,4,0,0,0,101.1,96,4,36,35,42,73,3.11,0.27,1.36,12.3,0.4,8.5,3.7,6.5,1.7,0,0,0,0,3.52,0,2.1,2.9,Slot,Extremely Hard,Average,,
33964,2B,46,ADOLPH JACOBSON,,16,USA,"Greeley, CO","6' 1""",155 lbs,Right,Right,Greeley,-,Average,HS Sophomore,1,FB,80-83 Mph,Over the Top,Normal,27,27,136,115,49,20,4,4,31,48,13,6,28,0.426,0.485,0.774,47,17.4,0.348,0.51,1.259,0.417,0,2.3,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,,
33975,CF,12,AL BELL,,16,USA,"Lebanon, IL","5' 11""",165 lbs,Right,Right,Lebanon,-,Average,HS Sophomore,1,FB,80-83 Mph,Over the Top,Normal,26,26,130,113,52,11,1,0,31,47,12,6,12,0.46,0.508,0.575,34.9,13.5,0.115,0.466,1.083,0.477,0,1.7,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,,
34583,SP,21,AL CASH,,17,USA,"West Reading, PA","6' 4""",175 lbs,Switch,Right,Totowa,-,Average,HS Junior,3,NEU,90-92 Mph,Over the Top,Normal,9,9,46,42,15,8,2,1,15,12,1,3,11,0.357,0.37,0.714,10.9,9.2,0.357,0.436,1.084,0.35,0,0.5,0,8,3,14,14,7,3,0,0,0,97.2,76,3,27,26,45,110,2.4,0.264,1.24,11.3,0.3,7,4.1,10.1,2.4,0,0,0,0,2.79,0,3,3.7,Slot,Extremely Hard,Low,,
35612,SP,17,AL DAY,HAPPY,19,USA,"New Britain, CT","6' 1""",165 lbs,Right,Left,Bulein,-,Good,CO Freshman,3,GB,85-87 Mph,Normal (3/4),Groundballer,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,5,6,0,0,0,98.2,97,6,45,44,49,83,4.01,0.315,1.48,13.3,0.5,8.8,4.5,7.6,1.7,0,0,0,0,3.8,0,1.6,1.7,Slot,Extremely Hard,Average,,
34612,SS,25,AL DEL ANGEL,,17,USA,"Mill Valley, CA","5' 10""",150 lbs,Right,Right,Drew,-,Average,HS Junior,3,NEU,83-85 Mph,Normal (3/4),Normal,25,25,125,109,45,16,1,4,29,40,13,7,21,0.413,0.468,0.688,37.2,14.6,0.275,0.481,1.156,0.41,0,1.8,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,,
34588,SP,18,AL DUSTER,PRINCE OF THE PRAIRIE,17,USA,"Bellevue, NE","5' 9""",140 lbs,Right,Right,Council Bluffs,-,Average,HS Junior,4,NEU,84-86 Mph,Over the Top,Normal,11,11,55,48,17,4,2,2,12,14,1,7,8,0.354,0.346,0.646,9.9,6.5,0.292,0.378,0.992,0.357,0,0.3,0,9,4,16,16,11,1,0,0,0,124.1,82,2,18,16,29,193,1.16,0.284,0.89,8,0.1,5.9,2.1,14,6.7,0,0,0,0,1,0,7.8,7.3,Slot,Extremely Hard,Average,,
33742,SP,4,AL FINNEGAN,,16,USA,"Waltham, MA","6' 1""",160 lbs,Right,Right,Wooster,-,Average,HS Sophomore,3,NEU,83-85 Mph,Normal (3/4),Normal,25,25,129,119,40,7,0,1,24,29,4,12,8,0.336,0.357,0.42,18.9,6,0.084,0.334,0.777,0.361,0,0.2,0,3,1,12,12,6,3,0,0,0,92,67,2,22,19,33,105,1.86,0.255,1.09,10.1,0.2,6.6,3.2,10.3,3.2,0,0,0,0,2.37,0,3.4,4,Slot,Extremely Hard,Low,,
34514,SS,17,AL GROSS,,17,USA,"Dunmore, PA","5' 10""",145 lbs,Left,Right,Ridgefield Park,-,Average,HS Junior,1,NEU,80-83 Mph,Normal (3/4),Normal,26,26,132,114,51,14,1,2,30,38,14,8,17,0.447,0.504,0.64,39.4,15,0.193,0.487,1.144,0.462,0,2,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,,
35331,LF,29,AL HERRING,,18,USA,"Kenosha, WI","6' 0""",170 lbs,Right,Right,Lake Park,Lawrence State,Average,HS Senior,1,FB,80-83 Mph,Normal (3/4),Normal,26,26,132,119,48,10,1,1,28,39,7,6,12,0.403,0.45,0.529,29.3,10,0.126,0.421,0.979,0.42,0,1.2,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,,
33780,SS,2,AL HERRIOTT,,16,USA,"Kansas City, MO","5' 9""",145 lbs,Right,Right,Sedalia,-,Average,HS Sophomore,1,FB,80-83 Mph,Sidearm,Normal,26,26,132,109,49,15,1,1,30,45,18,5,17,0.45,0.515,0.633,39.4,14.8,0.183,0.484,1.148,0.453,0,1.9,0,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,,
33820,2B,11,AL HESS,,18,USA,"Moundsville, WV","6' 0""",180 lbs,Right,Right,Georgia Baptist,-,Great,CO Freshman,1,NEU,80-83 Mph,Normal (3/4),Normal,43,43,216,187,50,10,5,2,36,32,25,10,17,0.267,0.355,0.406,33.7,6.2,0.139,0.336,0.762,0.273,0,0.4,0,38,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,,
33771,RF,22,AL JACKSON,,16,USA,"Boone, IA","5' 10""",155 lbs,Switch,Left,Boone,-,Average,HS Sophomore,1,FB,80-83 Mph,Over the Top,Normal,24,24,124,99,42,10,3,3,24,37,17,3,16,0.424,0.52,0.677,41,17.3,0.253,0.503,1.197,0.411,0,2,0,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,,
35416,CF,29,AL JENNINGS,,21,USA,"Burlingame, CA","5' 10""",160 lbs,Right,Right,Gates University,-,Good,CO Junior,1,FB,80-83 Mph,Normal (3/4),Normal,49,49,248,223,75,12,7,5,46,65,20,3,24,0.336,0.391,0.52,52.9,9.2,0.184,0.393,0.911,0.321,0,0.5,0,37,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$11k,Normal,Average,,
33735,3B,12,AL JOHNSON,,16,USA,"Union City, IN","5' 9""",165 lbs,Right,Right,Union City,-,Average,HS Junior,1,FB,80-83 Mph,Over the Top,Normal,24,24,120,111,58,17,0,0,35,46,6,4,17,0.523,0.55,0.676,42.8,20.6,0.153,0.532,1.226,0.537,0,2.2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Low,,
34166,SP,25,AL KELLY,,21,USA,"Dallas, TX","5' 10""",170 lbs,Right,Right,Mississippi A&M,-,Great,CO Junior,4,NEU,84-86 Mph,Over the Top,Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,2,5,0,0,0,76.1,83,9,39,38,26,42,4.48,0.287,1.43,13.2,1.1,9.8,3.1,5,1.6,0,0,0,0,4.77,0,0.3,0.8,Slot,Easy,Average,,
33589,SP,11,AL REDMOND,,19,USA,"Springfield, MA","5' 10""",160 lbs,Switch,Right,Charleston Tech,-,Great,CO Freshman,4,NEU,83-85 Mph,Normal (3/4),Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,4,7,0,0,0,96.2,108,15,70,67,65,50,6.24,0.284,1.79,16.4,1.4,10.1,6.1,4.7,0.8,0,0,0,0,6.29,0,-1.1,-0.8,Slot,Extremely Hard,Average,,
33757,C,16,AL RILEY,,19,USA,"Lancaster, PA","6' 2""",210 lbs,Right,Right,Carolina Poly,-,Great,CO Freshman,1,FB,80-83 Mph,Normal (3/4),Normal,47,47,236,202,56,11,1,2,36,47,31,22,14,0.277,0.376,0.371,32.1,5.8,0.094,0.339,0.747,0.303,0,0.5,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,,
35310,CF,23,AL ROBERTS,,17,USA,"New Orleans, LA","5' 10""",150 lbs,Left,Right,Cohen College Prep,Maryland State,Average,HS Senior,1,EX FB,80-83 Mph,Normal (3/4),Normal,25,25,129,116,55,13,4,2,32,51,8,4,19,0.474,0.508,0.707,43.4,16.8,0.233,0.511,1.215,0.473,0,2.2,0,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Normal,Average,,
33976,3B,5,AL RYAN,,16,USA,"St. Augustine, FL","5' 11""",155 lbs,Right,Right,Inverness,-,Average,HS Sophomore,1,NEU,80-83 Mph,Normal (3/4),Normal,26,26,130,108,42,12,0,1,26,39,10,5,13,0.389,0.469,0.528,29.6,11.1,0.139,0.432,0.997,0.394,0,1.3,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,,
33744,RF,1,AL SORENSEN,ALL OVER AL,19,USA,"Brooklyn, NY","5' 10""",175 lbs,Right,Right,Brooklyn Catholic,-,Good,CO Freshman,1,FB,80-83 Mph,Normal (3/4),Normal,60,60,303,272,84,12,6,3,50,62,23,3,21,0.309,0.373,0.43,45.7,6,0.121,0.356,0.803,0.302,0,1,0,36,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Low,,
34572,SS,16,AL TERRY,,17,USA,"Bessemer, AL","5' 10""",150 lbs,Right,Right,Montevallo,-,Average,HS Junior,1,EX FB,80-83 Mph,Normal (3/4),Normal,25,25,129,118,52,14,4,1,29,37,6,2,19,0.441,0.465,0.653,43,16.1,0.212,0.473,1.118,0.432,0,1.8,0,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Low,,
34224,SP,96,AL WHITAKER,,15,USA,"Cleveland, OK","6' 2""",155 lbs,Right,Right,Locust Grove,-,Average,HS Sophomore,4,NEU,86-88 Mph,Normal (3/4),Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,5,3,0,0,0,82,62,4,26,23,44,85,2.52,0.241,1.29,11.6,0.4,6.8,4.8,9.3,1.9,0,0,0,0,3.37,0,1.8,2.7,Slot,Extremely Hard,Average,,
34147,RF,26,AL WILLIAMS,,18,USA,"Dallas, TX","5' 10""",160 lbs,Right,Right,Waco,Mississippi Tech,Average,HS Senior,3,NEU,-,Normal (3/4),Normal,26,26,131,117,50,14,3,4,34,39,9,6,21,0.427,0.477,0.701,39.8,15.1,0.274,0.488,1.177,0.43,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,,
35730,3B,21,ALEX BOYD,,17,USA,"Sacramento, CA","5' 10""",160 lbs,Right,Right,Woodland,-,Average,HS Junior,1,FB,80-83 Mph,Normal (3/4),Normal,23,23,118,111,46,15,0,1,27,42,6,2,16,0.414,0.449,0.577,32.1,12.7,0.162,0.446,1.026,0.417,0,1.3,0,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Low,,
