ID,POS,#,Name,Nickname,Age,NAT,COB,HT,WT,B,T,Schl,CommSch,COMP,HSC,PIT,G/F,VELO,Slot,PT,G,GS,PA,AB,H,2B,3B,HR,RBI,R,BB,SO,EBH,AVG,OBP,SLG,RC,RC/27,ISO,wOBA,OPS,BABIP,WPA,WAR,PI/PA,SB,CS,G,GS,W,L,SV,BS,HLD,IP,HA,HR,R,ER,BB,K,ERA,BABIP,WHIP,RA/9,HR/9,H/9,BB/9,K/9,K/BB,QS,CG,SHO,GO%,FIP,WPA,WAR,rWAR,DEM,Sign,SctAcc,Year,Notes
35255,2B,8,MARTY ACTON,,16,USA,"Brooklyn, NY","6' 0""",170 lbs,Switch,Right,Pelham Manor,-,Average,HS Junior,1,FB,80-83 Mph,Over the Top,Normal,22,22,113,103,49,13,1,0,28,44,6,2,14,0.476,0.495,0.621,33.1,15.1,0.146,0.473,1.117,0.476,0,1.6,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935,
35226,RF,6,WHITEY ACTON,,19,USA,"New York, NY","5' 9""",160 lbs,Left,Left,North Carolina Tech,-,Great,CO Sophomore,1,FB,80-83 Mph,Normal (3/4),Normal,62,62,310,289,86,14,6,8,63,77,19,3,28,0.298,0.342,0.471,49.6,6.3,0.173,0.351,0.813,0.28,0,0.9,0,32,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935,
34186,SP,11,DAN ADAMS,BUCKY,20,USA,"Indianapolis, IN","5' 11""",170 lbs,Right,Right,Central Kentucky,-,Great,CO Sophomore,3,NEU,85-87 Mph,Over the Top,Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,7,5,0,0,0,111.1,118,5,48,45,34,72,3.64,0.315,1.37,12.4,0.4,9.5,2.7,5.8,2.1,0,0,0,0,3.43,0,2.4,2.2,Slot,Extremely Hard,Average,1935,
34210,RF,75,JOE AKERS,,17,USA,"Philadelphia, PA","5' 11""",160 lbs,Right,Right,Southwestern,-,Average,HS Junior,1,FB,80-83 Mph,Normal (3/4),Normal,21,21,109,90,38,15,2,4,27,31,11,3,21,0.422,0.481,0.767,35.3,15.9,0.344,0.498,1.248,0.395,0,1.7,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935,
34120,RF,2,BEN ALLEN,,17,USA,"Memphis, TN","6' 3""",180 lbs,Left,Left,Helena,-,Average,HS Junior,1,NEU,80-83 Mph,Normal (3/4),Normal,22,22,113,94,42,10,0,2,29,36,15,5,12,0.447,0.531,0.617,34.5,16.6,0.17,0.499,1.148,0.455,0,1.8,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Hard,Average,1935,
34173,3B,22,DENNY ANDREWS,,20,USA,"Philadelphia, PA","5' 7""",160 lbs,Switch,Right,Maryland State,-,Great,CO Sophomore,1,FB,80-83 Mph,Over the Top,Normal,43,43,219,176,54,9,1,8,33,51,38,10,18,0.307,0.438,0.506,44.2,9.5,0.199,0.416,0.944,0.289,0,1.9,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935,
35262,C,10,BOB ARTESAN,,17,USA,"Salt Lake City, UT","5' 7""",155 lbs,Left,Right,Midvale,-,Average,HS Junior,1,NEU,80-83 Mph,Normal (3/4),Normal,21,21,105,86,38,13,1,1,24,35,16,5,15,0.442,0.519,0.651,31.6,15.5,0.209,0.494,1.17,0.451,0,1.6,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935,
35271,SS,2,FRANK BABCOCK,,17,USA,"New York, NY","5' 10""",140 lbs,Right,Right,Edison,-,Average,HS Junior,1,FB,80-83 Mph,Normal (3/4),Normal,25,25,129,106,43,11,2,2,26,36,19,7,15,0.406,0.492,0.604,36.2,14.4,0.198,0.467,1.096,0.414,0,1.7,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935,
34141,SS,38,DICK BAILEY,,17,USA,"Philadelphia, PA","5' 11""",155 lbs,Switch,Right,York,-,Average,HS Junior,1,FB,80-83 Mph,Normal (3/4),Normal,24,24,121,98,41,14,1,1,23,34,18,5,16,0.418,0.508,0.612,32.9,14.3,0.194,0.472,1.121,0.43,0,1.6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935,
35314,CF,19,DAN BAKER,,16,USA,"St. Louis, MO","5' 11""",165 lbs,Right,Right,Lebanon,-,Average,HS Junior,1,NEU,80-83 Mph,Normal (3/4),Normal,21,21,109,90,36,7,2,0,22,29,14,5,9,0.4,0.491,0.522,25.4,11.8,0.122,0.437,1.013,0.424,0,1.2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935,
34207,2B,7,JIM BAKER,,17,USA,"New York, NY","5' 6""",140 lbs,Right,Right,Oakmont,-,Average,HS Junior,3,NEU,83-85 Mph,Normal (3/4),Normal,26,26,133,109,45,13,2,1,29,37,18,5,16,0.413,0.504,0.596,37.1,13.7,0.183,0.476,1.1,0.419,0,1.8,0,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935,
34136,LF,28,MONTY BAKER,,17,USA,"Cleveland, OH","5' 10""",155 lbs,Right,Right,Monroe,-,Average,HS Junior,1,FB,80-83 Mph,Normal (3/4),Normal,21,21,107,98,45,13,6,1,24,41,5,4,20,0.459,0.477,0.745,36.2,16.3,0.286,0.507,1.222,0.458,0,1.8,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935,
35312,SS,9,SAMMY BARGER,,19,USA,"Independence, IA","5' 10""",160 lbs,Right,Right,Daniel Boone College,-,Great,CO Sophomore,1,FB,80-83 Mph,Normal (3/4),Normal,47,47,236,203,57,9,2,1,34,35,30,19,12,0.281,0.37,0.36,34.1,5.9,0.079,0.332,0.73,0.303,0,0.3,0,35,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935,
34122,CF,12,JOE BARKER,,20,USA,"Lebanon, IN","5' 7""",155 lbs,Switch,Left,Georgia Baptist,-,Great,CO Sophomore,1,FB,80-83 Mph,Normal (3/4),Normal,54,54,274,241,65,9,2,0,40,39,21,3,11,0.27,0.339,0.324,32.1,4.6,0.054,0.301,0.663,0.27,0,-0.4,0,32,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935,
34190,SP,6,IKE BEAVER,,20,USA,"Los Angeles, CA","5' 11""",170 lbs,Right,Right,American Atlantic,-,Great,CO Sophomore,3,NEU,83-85 Mph,Over the Top,Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,7,4,0,0,0,96.2,97,11,43,40,27,71,3.72,0.286,1.28,11.8,1,9,2.5,6.6,2.6,0,0,0,0,4.14,0,1.2,1.7,Slot,Extremely Hard,Average,1935,
35450,SP,21,DUTCH BECKER,,17,USA,"Aberdeen, WA","6' 3""",165 lbs,Right,Right,Manual,-,Average,HS Junior,3,EX GB,84-86 Mph,Normal (3/4),Groundballer,9,9,47,45,18,9,2,3,17,17,0,5,14,0.4,0.4,0.889,12.8,10.2,0.489,0.505,1.289,0.405,0,0.8,0,10,5,15,15,8,3,0,0,0,111.1,90,2,34,31,55,128,2.51,0.278,1.3,11.7,0.2,7.3,4.4,10.3,2.3,0,0,0,0,2.62,0,3.7,3.9,Slot,Extremely Hard,Average,1935,
36437,CF,17,EDDIE BECKER,,19,USA,"Bristol, RI","5' 10""",165 lbs,Right,Right,Garden State,-,Great,CO Sophomore,1,NEU,80-83 Mph,Over the Top,Normal,45,45,228,193,58,8,4,1,30,42,32,9,13,0.301,0.399,0.399,38.6,7.2,0.098,0.361,0.798,0.308,0,0.9,0,35,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935,
37078,SP,41,HANK BECKMAN,,19,USA,"Tonawanda CDP, NY","5' 9""",150 lbs,Switch,Right,Whitney College,-,Great,CO Sophomore,5,NEU,85-87 Mph,Normal (3/4),Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,6,5,0,0,0,96.1,100,4,41,39,31,64,3.64,0.312,1.36,12.4,0.4,9.3,2.9,6,2.1,0,0,0,0,3.44,0,2.1,1.9,Slot,Extremely Hard,Average,1935,
35317,3B,33,JOE BECKWITH,,17,USA,"Adrian, MI","5' 8""",155 lbs,Right,Right,Walled Lake,-,Average,HS Junior,1,FB,80-83 Mph,Normal (3/4),Normal,21,21,108,87,40,11,1,4,25,36,15,3,16,0.46,0.543,0.747,37.6,19.5,0.287,0.527,1.29,0.444,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935,
35353,SS,21,EDDIE BELL,,17,USA,"Danbury, CT","5' 10""",145 lbs,Right,Right,Suffern,-,Average,HS Junior,1,FB,80-83 Mph,Normal (3/4),Normal,22,22,110,92,39,14,5,2,23,29,10,8,21,0.424,0.514,0.75,36.6,15.9,0.326,0.525,1.264,0.451,0,2,0,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935,
35344,SP,22,JOE BEMENT,,17,USA,"San Antonio, TX","5' 10""",145 lbs,Left,Left,Santa Clara,-,Average,HS Junior,3,NEU,87-89 Mph,Normal (3/4),Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,3,1,2,0,0,53.2,47,2,20,16,21,54,2.68,0.283,1.27,11.6,0.3,7.9,3.5,9.1,2.6,0,0,0,0,2.9,0,1.4,1.2,Slot,Extremely Hard,Average,1935,
34193,CF,8,DOUG BENNETT,,20,USA,"Middle Valley, TN","5' 10""",170 lbs,Left,Left,Columbia Military Academy,-,Great,CO Sophomore,1,FB,80-83 Mph,Over the Top,Normal,60,60,302,255,67,10,5,1,35,55,38,16,16,0.263,0.368,0.353,42.4,5.8,0.09,0.328,0.721,0.276,0,0.3,0,36,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935,
35422,CF,20,MILT BENNETT,,17,USA,"New Rochelle, NY","5' 10""",150 lbs,Right,Right,Chelsea,-,Average,HS Junior,1,FB,80-83 Mph,Sidearm,Normal,21,21,107,84,38,14,3,2,24,29,15,6,19,0.452,0.542,0.762,41.7,20.5,0.31,0.538,1.304,0.456,0,2.1,0,29,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935,
35359,C,16,DIEGO BERNAL,,20,USA,"San Francisco, CA","6' 0""",190 lbs,Right,Right,College of San Diego,-,Great,CO Sophomore,1,FB,80-83 Mph,Normal (3/4),Normal,39,39,196,162,42,7,0,2,29,27,27,24,9,0.259,0.366,0.34,23.4,5,0.08,0.323,0.705,0.288,0,0.1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935,
36418,LF,12,LUKE BERRY,MR. COOL,17,USA,"Kingston, PA","6' 0""",165 lbs,Right,Right,Cressona,-,Average,HS Junior,1,FB,80-83 Mph,Normal (3/4),Normal,23,23,115,90,49,14,1,4,35,43,19,4,19,0.544,0.611,0.856,50.8,29.2,0.311,0.593,1.466,0.529,0,2.8,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935,
34206,SP,6,JIM BIRDWELL,,20,USA,"Buffalo, NY","6' 0""",175 lbs,Left,Right,Sumter College,-,Good,CO Sophomore,4,NEU,83-85 Mph,Sidearm,Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,6,4,0,0,0,95,96,8,43,42,38,61,3.98,0.288,1.41,12.8,0.8,9.1,3.6,5.8,1.6,0,0,0,0,4.24,0,1,1.6,Slot,Extremely Hard,Average,1935,
35400,2B,19,TOMMY BLOOD,,17,USA,"Marlborough, MA","5' 11""",155 lbs,Right,Right,Holyoke,-,Average,HS Junior,1,FB,80-83 Mph,Normal (3/4),Normal,24,24,122,93,41,14,6,2,28,35,17,3,22,0.441,0.542,0.785,44.5,20,0.344,0.535,1.327,0.429,0,2.3,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935,
36466,SP,5,ANDY BOYER,RAGS,20,USA,"Detroit, MI","6' 1""",175 lbs,Right,Right,CC Los Angeles,-,Great,CO Sophomore,2,EX GB,83-85 Mph,Normal (3/4),Groundballer,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,1,17,0,0,30.2,30,1,13,12,10,20,3.52,0.309,1.3,12.3,0.3,8.8,2.9,5.9,2,0,0,0,0,3.49,0,0.3,0.3,Slot,Extremely Hard,Average,1935,
36879,SP,24,ELMER BRADBURY,,20,USA,"Brockton, MA","5' 11""",175 lbs,Right,Right,Worcester Catholic University,-,Fair,CO Sophomore,5,NEU,89-91 Mph,Normal (3/4),Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,6,9,0,0,0,138.1,159,17,80,79,60,96,5.14,0.318,1.58,14.2,1.1,10.3,3.9,6.2,1.6,0,0,0,0,4.71,0,0.7,0.6,Slot,Extremely Hard,Average,1935,
35241,SP,6,CARL BRADSHAW,,17,USA,"Indianapolis, IN","6' 1""",160 lbs,Left,Left,Muncie,-,Average,HS Junior,3,NEU,85-87 Mph,Normal (3/4),Normal,21,21,105,99,37,6,1,3,26,36,2,17,10,0.374,0.381,0.545,21,8.3,0.172,0.394,0.926,0.415,0,0.7,0,6,3,14,9,6,0,0,0,0,67.1,47,2,15,12,21,97,1.6,0.276,1.01,9.2,0.3,6.3,2.8,13,4.6,0,0,0,0,1.69,0,3.1,2.9,Slot,Extremely Hard,Average,1935,
35222,SP,19,LES BRADSHAW,,17,USA,"Worcester, MA","6' 0""",155 lbs,Right,Right,King,-,Average,HS Junior,3,GB,84-86 Mph,Normal (3/4),Groundballer,26,26,130,117,44,10,1,0,27,35,6,12,11,0.376,0.402,0.479,23.6,8,0.103,0.375,0.88,0.407,0,0.7,0,1,1,15,15,8,3,0,0,0,118.1,92,2,26,22,29,130,1.67,0.271,1.02,9.2,0.2,7,2.2,9.9,4.5,0,0,0,0,1.96,0,5.3,5.6,Slot,Extremely Hard,Average,1935,
