ID,POS,#,Name,Nickname,Age,NAT,COB,HT,WT,B,T,Schl,CommSch,COMP,HSC,PIT,G/F,VELO,Slot,PT,G,GS,PA,AB,H,2B,3B,HR,RBI,R,BB,SO,EBH,AVG,OBP,SLG,RC,RC/27,ISO,wOBA,OPS,BABIP,WPA,WAR,PI/PA,SB,CS,G,GS,W,L,SV,BS,HLD,IP,HA,HR,R,ER,BB,K,ERA,BABIP,WHIP,RA/9,HR/9,H/9,BB/9,K/9,K/BB,QS,CG,SHO,GO%,FIP,WPA,WAR,rWAR,DEM,Sign,SctAcc,Year
33936,SP,6,ABE ABINGDON,DOUBLE A,15,USA,"Burlington, KS","5' 9""",135 lbs,Right,Right,Burlington,-,Average,HS Freshman,3,NEU,84-86 Mph,Normal (3/4),Normal,22,22,110,106,42,7,1,2,28,31,2,5,10,0.396,0.404,0.538,23.8,9.2,0.142,0.403,0.941,0.4,0,0.8,0,13,4,13,7,4,1,0,0,0,59.2,49,2,18,16,21,57,2.41,0.26,1.17,10.9,0.3,7.4,3.2,8.6,2.7,0,0,0,0,2.88,0,1.6,1.9,Slot,Hard,Average,1935
33978,2B,19,CHARLIE ADAMS,,15,USA,"Dayton, OH","5' 8""",140 lbs,Right,Right,Oakwood,-,Average,HS Freshman,1,FB,80-83 Mph,Sidearm,Normal,25,25,129,105,47,11,1,0,24,38,18,5,12,0.448,0.543,0.571,36.4,16.1,0.124,0.492,1.114,0.465,0,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935
34208,C,1,CHUCK ADAMS,,15,USA,"Huntsville, AR","5' 10""",175 lbs,Switch,Right,Huntsville,-,Average,HS Freshman,3,NEU,75-80 Mph,Normal (3/4),Normal,21,21,107,87,36,9,2,2,23,27,13,7,13,0.414,0.495,0.632,30.1,14.8,0.218,0.479,1.128,0.42,0,1.5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935
33972,CF,23,CHUCK ADAMS,,15,USA,"White Plains, NY","5' 10""",145 lbs,Switch,Right,Richmond Hill,-,Average,HS Freshman,1,FB,80-83 Mph,Normal (3/4),Normal,22,22,114,91,37,9,1,3,22,29,16,7,13,0.407,0.505,0.626,32.5,14.2,0.22,0.473,1.131,0.415,0,1.6,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Low,1935
33890,SS,12,VERLIN ALEXANDER,,15,USA,"Lexington, MO","5' 9""",135 lbs,Right,Right,Lexington,-,Average,HS Freshman,1,EX FB,80-83 Mph,Normal (3/4),Normal,24,24,120,99,49,16,4,3,32,47,13,6,23,0.495,0.547,0.828,50.2,21.5,0.333,0.552,1.375,0.495,0,2.5,0,32,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935
33962,C,25,HARVEY AMMERMAN,,15,USA,"Spotsylvania Courthouse, VA","5' 6""",145 lbs,Right,Right,Spotsylvania,-,Average,HS Freshman,1,FB,80-83 Mph,Normal (3/4),Normal,24,24,124,102,41,11,2,4,26,37,17,7,17,0.402,0.492,0.667,35.7,14.8,0.265,0.483,1.158,0.402,0,1.8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935
33905,C,30,WILLIE AMRINE,,15,USA,"New York, NY","5' 10""",165 lbs,Left,Right,Bushwick,-,Average,HS Freshman,1,NEU,80-83 Mph,Over the Top,Normal,22,22,113,92,37,11,0,1,22,34,18,4,12,0.402,0.496,0.554,28,13,0.152,0.458,1.05,0.404,0,1.4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935
33970,3B,25,BILL ANDERSON,,15,USA,"Columbus, OH","6' 0""",170 lbs,Right,Right,Central,-,Average,HS Freshman,1,NEU,80-83 Mph,Normal (3/4),Normal,23,23,118,94,41,10,0,1,27,34,15,6,11,0.436,0.521,0.574,32.2,14.5,0.138,0.474,1.096,0.444,0,1.6,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935
33937,SP,19,SPENCE ARMSTRONG,,15,USA,"Hoboken, NJ","6' 1""",155 lbs,Right,Right,Rice,-,Average,HS Freshman,3,NEU,83-85 Mph,Normal (3/4),Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,4,1,0,0,0,58,49,2,16,14,13,57,2.17,0.275,1.07,9.9,0.3,7.6,2,8.8,4.4,0,0,0,0,2.46,0,2,2.1,Slot,Extremely Hard,Average,1935
34221,SP,23,CHARLIE ASHMORE,,15,USA,"Derby, CT","6' 1""",155 lbs,Right,Right,Kearny,-,Average,HS Freshman,6,GB,84-86 Mph,Normal (3/4),Groundballer,24,24,120,118,50,13,1,0,30,40,1,5,14,0.424,0.433,0.551,27.9,10.8,0.127,0.43,0.984,0.442,0,1.2,0,3,2,12,12,8,0,0,0,0,92,68,1,18,15,22,106,1.47,0.267,0.98,8.8,0.1,6.7,2.2,10.4,4.8,0,0,0,0,1.75,0,4.4,4.6,Slot,Extremely Hard,Average,1935
