ID,POS,#,Name,Nickname,Age,NAT,City,HT,WT,B,T,Schl,CommSch,COMP,HSC,PIT,G/F,VELO,Slot,PT,G,GS,PA,AB,H,2B,3B,HR,RBI,R,BB,SO,EBH,AVG,OBP,SLG,RC,RC/27,ISO,wOBA,OPS,BABIP,WPA,WAR,PI/PA,SB,CS,G,GS,W,L,SV,BS,HLD,IP,HA,HR,R,ER,BB,K,ERA,BABIP,WHIP,RA/9,HR/9,H/9,BB/9,K/9,K/BB,QS,CG,SHO,GO%,FIP,WPA,WAR,rWAR,DEM,Sign,SctAcc
33936,SP,6,ABE ABINGDON,DOUBLE A,17,USA,"Burlington, KS","5' 10""",145 lbs,Right,Right,Burlington,-,Average,HS Junior,3,NEU,87-89 Mph,Normal (3/4),Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,5,0,0,0,0,58.2,42,2,11,9,10,78,1.38,0.272,0.89,8.1,0.3,6.4,1.5,12,7.8,0,0,0,0,1.55,0,2.8,2.8,Slot,-,Average
33555,C,29,NORM ABRAMS,,16,USA,"Maplewood, NJ","5' 10""",175 lbs,Right,Right,Lewisburg,-,Average,HS Junior,1,NEU,80-83 Mph,Normal (3/4),Normal,26,26,131,107,43,13,2,1,24,31,17,8,16,0.402,0.477,0.589,33,12.2,0.187,0.446,1.065,0.416,0,1.5,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,-,Average
34208,C,1,CHUCK ADAMS,WAGON,17,USA,"Huntsville, AR","6' 0""",180 lbs,Switch,Right,Huntsville,-,Average,HS Junior,3,NEU,75-80 Mph,Normal (3/4),Normal,22,22,114,97,41,12,1,0,24,29,9,6,13,0.423,0.486,0.567,28.7,12.3,0.144,0.448,1.053,0.446,0,1.3,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,-,Average
33972,CF,23,CHUCK T ADAMS,,17,USA,"White Plains, NY","5' 10""",150 lbs,Switch,Right,Richmond Hill,-,Average,HS Junior,1,FB,80-83 Mph,Normal (3/4),Normal,24,24,120,106,40,11,1,3,25,39,10,8,15,0.377,0.442,0.585,29.6,11.4,0.208,0.442,1.027,0.385,0,1.3,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,-,Average
33978,2B,19,CHARLIE ADAMSON,,17,USA,"Dayton, OH","5' 8""",145 lbs,Right,Right,Oakwood,-,Average,HS Junior,1,FB,80-83 Mph,Sidearm,Normal,22,22,113,88,40,8,0,2,24,34,15,5,10,0.455,0.541,0.614,32.8,16.1,0.159,0.49,1.154,0.452,0,1.7,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,-,Average
33890,SS,12,VERLIN ALEXANDER,,17,USA,"Lexington, MO","5' 10""",145 lbs,Right,Right,Lexington,-,Average,HS Junior,1,EX FB,80-83 Mph,Normal (3/4),Normal,26,26,131,110,57,13,5,4,37,44,15,3,22,0.518,0.578,0.836,58.6,24.7,0.318,0.576,1.414,0.51,0,3,0,31,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,-,Average
37211,CF,21,BILL ALLAIN,,17,USA,"Chicago, IL","5' 10""",155 lbs,Right,Right,Mount Carmel,-,Average,HS Junior,1,FB,80-83 Mph,Normal (3/4),Normal,21,21,107,96,41,12,1,1,25,34,5,3,14,0.427,0.462,0.604,28.2,12.5,0.177,0.447,1.066,0.43,0,1.2,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,-,Average
33587,SP,11,OLIVER ALLEN,,17,USA,"Atlanta, GA","6' 1""",155 lbs,Left,Left,Layton,-,Average,HS Junior,4,NEU,87-89 Mph,Normal (3/4),Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10,5,1,0,0,0,76.1,54,1,16,14,24,93,1.65,0.259,1.02,9.4,0.1,6.4,2.8,11,3.9,0,0,0,0,1.96,0,3.1,3.4,Slot,-,Average
33962,C,25,HARVEY AMMERMAN,,17,USA,"Spotsylvania Courthouse, VA","5' 9""",155 lbs,Right,Right,Spotsylvania,-,Average,HS Junior,1,FB,80-83 Mph,Normal (3/4),Normal,23,23,118,97,39,7,2,3,29,30,17,5,12,0.402,0.492,0.608,32.1,13.5,0.206,0.472,1.1,0.396,0,1.6,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,-,Average
33905,C,30,WILLIE AMRINE,,17,USA,"New York, NY","5' 11""",180 lbs,Left,Right,Bushwick,-,Average,HS Junior,1,NEU,80-83 Mph,Over the Top,Normal,21,21,107,89,36,10,1,4,27,29,11,5,15,0.404,0.462,0.674,29.4,13,0.27,0.461,1.136,0.386,0,1.4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,-,Average
33970,3B,25,BILL ANDERSON,,17,USA,"Columbus, OH","6' 2""",180 lbs,Right,Right,Central,-,Average,HS Junior,1,NEU,80-83 Mph,Normal (3/4),Normal,23,23,118,97,41,12,2,1,28,34,12,6,15,0.423,0.496,0.619,32.9,14.6,0.196,0.472,1.114,0.43,0,1.6,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,-,Average
33495,CF,32,NOAH ANDERSON,,16,USA,"San Antonio, TX","5' 10""",155 lbs,Right,Right,Austin,-,Average,HS Junior,4,FB,83-85 Mph,Over the Top,Normal,28,28,140,110,49,14,6,5,36,39,20,6,25,0.445,0.533,0.818,53.1,20.2,0.373,0.539,1.351,0.431,0,2.7,0,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,-,Average
33937,SP,19,SPENCE ARMSTRONG,,17,USA,"Hoboken, NJ","6' 3""",170 lbs,Right,Right,Rice,-,Average,HS Junior,4,NEU,85-87 Mph,Normal (3/4),Normal,7,7,39,34,12,6,1,0,11,10,0,5,7,0.353,0.342,0.588,6.7,6.2,0.235,0.365,0.93,0.375,0,0.2,0,7,3,16,9,4,2,0,0,0,64.2,48,2,24,20,43,69,2.78,0.246,1.41,12.8,0.3,6.7,6,9.6,1.6,0,0,0,0,3.51,0,1.2,1.6,Slot,-,Average
34221,SP,23,CHARLIE ASHMORE,,17,USA,"Derby, CT","6' 2""",160 lbs,Right,Right,Kearny,-,Average,HS Junior,6,GB,85-87 Mph,Normal (3/4),GB'er,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,8,3,0,0,0,110,88,3,33,31,52,124,2.54,0.28,1.27,11.5,0.2,7.2,4.3,10.1,2.4,0,0,0,0,2.72,0,3.5,3.9,Slot,-,Average
