ID,POS,#,Name,Nickname,Age,NAT,City,HT,WT,B,T,Schl,CommSch,COMP,HSC,PIT,G/F,VELO,Slot,PT,G,GS,PA,AB,H,2B,3B,HR,RBI,R,BB,SO,EBH,AVG,OBP,SLG,RC,RC/27,ISO,wOBA,OPS,BABIP,WPA,WAR,PI/PA,SB,CS,G,GS,W,L,SV,BS,HLD,IP,HA,HR,R,ER,BB,K,ERA,BABIP,WHIP,RA/9,HR/9,H/9,BB/9,K/9,K/BB,QS,CG,SHO,GO%,FIP,WPA,WAR,rWAR,DEM,Sign,SctAcc
33936,SP,6,ABE ABINGDON,DOUBLE A,17,USA,"Burlington, KS","5' 10""",145 lbs,Right,Right,Burlington,-,Average,HS Junior,3,NEU,87-89 Mph,Normal (3/4),Normal,42,42,214,207,83,18,2,5,56,71,4,9,25,0.401,0.41,0.58,49.9,9.8,0.179,0.422,0.99,0.402,0,2,0,31,10,37,23,14,2,0,0,0,178.1,138,7,47,41,56,205,2.07,0.266,1.09,10,0.4,7,2.8,10.3,3.7,0,0,0,0,2.42,0,6.1,6.8,Slot,-,Average
33555,C,29,NORM ABRAMS,,16,USA,"Maplewood, NJ","5' 10""",175 lbs,Right,Right,Lewisburg,-,Average,HS Junior,1,NEU,80-83 Mph,Normal (3/4),Normal,47,47,240,197,81,23,2,2,50,66,34,13,27,0.411,0.494,0.579,61.9,12.9,0.168,0.459,1.072,0.425,0,3,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,-,Average
34208,C,1,CHUCK ADAMS,WAGON,17,USA,"Huntsville, AR","6' 0""",180 lbs,Switch,Right,Huntsville,-,Average,HS Junior,3,NEU,75-80 Mph,Normal (3/4),Normal,66,66,340,286,118,31,5,2,73,89,34,17,38,0.413,0.488,0.577,87.4,13,0.164,0.458,1.065,0.428,0,4.2,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,-,Average
33972,CF,23,CHUCK T ADAMS,,17,USA,"White Plains, NY","5' 10""",150 lbs,Switch,Right,Richmond Hill,-,Average,HS Junior,1,FB,80-83 Mph,Normal (3/4),Normal,71,71,359,305,119,29,2,12,74,112,37,24,43,0.39,0.465,0.616,95.4,12.8,0.226,0.458,1.081,0.392,0,4.4,0,27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,-,Average
33978,2B,19,CHARLIE ADAMSON,,17,USA,"Dayton, OH","5' 8""",145 lbs,Right,Right,Oakwood,-,Average,HS Junior,1,FB,80-83 Mph,Sidearm,Normal,69,69,355,284,128,28,1,2,75,109,48,14,31,0.451,0.543,0.577,100.2,15.7,0.127,0.488,1.12,0.462,0,5.3,0,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,-,Average
33890,SS,12,VERLIN ALEXANDER,,17,USA,"Lexington, MO","5' 10""",145 lbs,Right,Right,Lexington,-,Average,HS Junior,1,EX FB,80-83 Mph,Normal (3/4),Normal,72,72,362,302,154,41,15,8,98,130,41,11,64,0.51,0.565,0.825,158.7,23.7,0.315,0.566,1.389,0.503,0,7.9,0,95,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,-,Average
37211,CF,21,BILL ALLAIN,,17,USA,"Chicago, IL","5' 10""",155 lbs,Right,Right,Mount Carmel,-,Average,HS Junior,1,FB,80-83 Mph,Normal (3/4),Normal,43,43,219,190,85,23,3,4,51,68,17,6,30,0.447,0.498,0.663,66.6,15.4,0.216,0.483,1.161,0.445,0,3.2,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,-,Average
33587,SP,11,OLIVER ALLEN,,17,USA,"Atlanta, GA","6' 1""",155 lbs,Left,Left,Layton,-,Average,HS Junior,4,NEU,87-89 Mph,Normal (3/4),Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,18,10,1,0,0,0,131,93,2,29,23,37,154,1.58,0.258,0.99,9.2,0.1,6.4,2.5,10.6,4.2,0,0,0,0,1.99,0,5.3,5.6,Slot,-,Average
33962,C,25,HARVEY AMMERMAN,,17,USA,"Spotsylvania Courthouse, VA","5' 9""",155 lbs,Right,Right,Spotsylvania,-,Average,HS Junior,1,FB,80-83 Mph,Normal (3/4),Normal,72,72,370,304,122,28,6,8,78,102,52,21,42,0.401,0.493,0.612,99.9,13.8,0.211,0.469,1.105,0.41,0,4.9,0,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,-,Average
33905,C,30,WILLIE AMRINE,,17,USA,"New York, NY","5' 11""",180 lbs,Left,Right,Bushwick,-,Average,HS Junior,1,NEU,80-83 Mph,Over the Top,Normal,65,65,334,278,112,36,2,9,76,102,41,16,47,0.403,0.473,0.644,90.8,13.2,0.241,0.466,1.117,0.395,0,4.4,0,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,-,Average
