ID,POS,#,Name,Nickname,Age,NAT,City,HT,WT,B,T,Schl,CommSch,COMP,HSC,PIT,G/F,VELO,Slot,PT,G,GS,PA,AB,H,2B,3B,HR,RBI,R,BB,SO,EBH,AVG,OBP,SLG,RC,RC/27,ISO,wOBA,OPS,BABIP,WPA,WAR,PI/PA,SB,CS,G,GS,W,L,SV,BS,HLD,IP,HA,HR,R,ER,BB,K,ERA,BABIP,WHIP,RA/9,HR/9,H/9,BB/9,K/9,K/BB,QS,CG,SHO,GO%,FIP,WPA,WAR,rWAR,DEM,Sign,SctAcc,Year,Notes
33427,2B,23,DUKE ABRAMS,,17,USA,"Warwick, RI","5' 11""",155 lbs,Left,Right,Woburn,Richmond State,Average,HS Senior,1,NEU,80-83 Mph,Normal (3/4),Normal,21,21,109,99,39,6,3,3,26,34,5,6,12,0.394,0.417,0.606,26.9,10.7,0.212,0.428,1.023,0.387,0,1.1,0,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Normal,Very High,1939,
33421,SP,11,ACE ADAMS,,21,USA,"San Gabriel, CA","5' 10""",165 lbs,Right,Right,CC Los Angeles,-,Great,CO Junior,4,NEU,86-88 Mph,Normal (3/4),Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,8,3,0,0,0,105.2,97,6,37,34,29,85,2.9,0.288,1.19,10.9,0.5,8.3,2.5,7.2,2.9,0,0,0,0,3.21,0,2.6,3.1,$600 ,Very Easy,Very High,1939,
33392,1B,19,BUCK ADAMS,,21,USA,"Fairbury, NE","6' 0""",200 lbs,Right,Right,Bayou State College,-,Great,CO Junior,1,NEU,80-83 Mph,Over the Top,Normal,50,50,251,228,62,10,0,5,41,48,17,32,15,0.272,0.329,0.382,30.9,4.8,0.11,0.315,0.711,0.297,0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Easy,Very High,1939,
33871,2B,5,MONTY ADAMS,,18,USA,"Dallas, TX","5' 8""",165 lbs,Switch,Right,Dallas,Oklahoma City State,Average,HS Senior,2,NEU,-,Normal (3/4),Normal,25,25,128,116,48,14,0,0,29,38,9,5,14,0.414,0.453,0.534,30.3,11.4,0.121,0.431,0.988,0.425,0,1.3,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,High,1939,
33384,CF,30,BOB ALLEN,,21,USA,"Weehawken, NJ","5' 9""",160 lbs,Right,Right,Eastern State,-,Great,CO Junior,1,FB,80-83 Mph,Normal (3/4),Normal,47,47,238,202,58,10,6,2,26,43,32,14,18,0.287,0.392,0.426,41.2,7.4,0.139,0.365,0.818,0.301,0,1,0,33,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$2k,Normal,Very High,1939,
33642,SP,21,JACK ALLEN,,21,USA,"Rapid City, SD","5' 11""",150 lbs,Left,Right,Utah A&M,-,Good,CO Junior,4,FB,85-87 Mph,Over the Top,Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,5,8,0,0,0,118.2,146,14,84,82,68,41,6.22,0.31,1.8,16.2,1.1,11.1,5.2,3.1,0.6,0,0,0,0,5.76,0,-0.7,-0.8,Slot,Hard,High,1939,
37313,CF,10,SAM C ALLEN,,18,USA,"Philadelphia, PA","5' 11""",175 lbs,Right,Right,Central,Grange College,Average,HS Senior,1,FB,80-83 Mph,Over the Top,Normal,25,25,128,104,46,17,0,3,32,35,18,6,20,0.442,0.531,0.692,42.3,18.7,0.25,0.518,1.224,0.443,0,2.3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$1k,Extremely Hard,Very High,1939,
33402,SP,33,ROLLIE ANDERSON,,22,USA,"Herkimer, NY","5' 10""",165 lbs,Right,Right,Maryland State,-,Great,CO Junior,3,NEU,84-86 Mph,Normal (3/4),Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,4,7,0,0,0,99.2,110,12,74,71,85,61,6.41,0.301,1.96,17.6,1.1,9.9,7.7,5.5,0.7,0,0,0,0,6.1,0,-1,-1,Slot,Hard,Very High,1939,
37264,SP,10,HANK ARTRIP,,18,USA,"San Francisco, CA","5' 8""",155 lbs,Switch,Left,Lowell,Grange College,Average,HS Senior,3,NEU,88-90 Mph,Normal (3/4),Normal,23,23,118,109,42,10,2,3,24,37,7,6,15,0.385,0.427,0.596,28.6,10.9,0.211,0.436,1.024,0.39,0,1.2,0,8,3,13,13,7,2,0,0,0,93.1,80,4,23,22,21,106,2.12,0.286,1.08,9.7,0.4,7.7,2,10.2,5,0,0,0,0,2.16,0,3.8,4,Slot,Normal,High,1939,
33146,SP,5,BUD BAILEY,,17,USA,"Alva, OK","5' 11""",155 lbs,Right,Right,Hutchinson,Coastal State,Average,HS Senior,3,NEU,85-87 Mph,Normal (3/4),Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,5,4,0,0,0,94.1,87,3,41,39,65,70,3.72,0.266,1.61,14.5,0.3,8.3,6.2,6.7,1.1,0,0,0,0,4.2,0,1.1,1.8,Slot,Extremely Hard,Very High,1939,
