ID,POS,#,Name,Nickname,Age,NAT,City,HT,WT,B,T,Schl,CommSch,COMP,HSC,PIT,G/F,VELO,Slot,PT,G,GS,PA,AB,H,2B,3B,HR,RBI,R,BB,SO,EBH,AVG,OBP,SLG,RC,RC/27,ISO,wOBA,OPS,BABIP,WPA,WAR,PI/PA,SB,CS,G,GS,W,L,SV,BS,HLD,IP,HA,HR,R,ER,BB,K,ERA,BABIP,WHIP,RA/9,HR/9,H/9,BB/9,K/9,K/BB,QS,CG,SHO,GO%,FIP,WPA,WAR,rWAR,DEM,Sign,SctAcc,Year,Note
30891,CF,26,Ed Adams,,21,USA,"Maud, OK","6' 0""",185 lbs,Left,Left,Red River State,-,Good,CO Junior,1,NEU,83-85,4-Mar,Normal,233,233,1176,968,318,52,14,16,208,248,165,97,82,0.329,0.438,0.461,230.1,8.6,0.132,0.399,0.899,0.351,0,8.5,0,172,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Normal,Average,Career,
30837,SS,12,Ned Adams,,20,USA,"Wadsworth, OH","5' 11""",165 lbs,Right,Right,Grange College,-,Great,CO Junior,1,FB,80-83,OTT,Normal,263,263,1335,1138,376,72,15,14,235,300,168,98,101,0.33,0.416,0.457,253.1,8.2,0.127,0.385,0.873,0.349,0,8,0,180,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$700 ,Normal,Average,Career,
30804,CF,3,Aanand Adani,,20,USA,"Butte, MT","6' 0""",170 lbs,Right,Right,Fremont State,-,Good,CO Junior,1,FB,85-87,4-Mar,Normal,253,253,1277,1153,374,59,10,3,215,293,76,126,72,0.324,0.378,0.401,189.8,5.9,0.076,0.346,0.778,0.359,0,3.3,0,179,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Normal,Average,Career,
29420,CF,2,Anders Adriansen,,18,USA,"Piketon, OH","5' 11""",165 lbs,Switch,Right,Piketon,Sparta State,Average,HS Senior,1,EX FB,80-83,SIDE,Normal,75,75,380,310,137,30,2,11,92,116,48,15,43,0.442,0.519,0.658,121,16.7,0.216,0.494,1.177,0.433,0,5.9,0,44,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$2k,Extremely Hard,Average,Career,
29052,C,6,Roy Alexander,,18,USA,"Kokomo, IN","5' 11""",180 lbs,Switch,Right,Buchanan,Collingwood College,Average,HS Senior,1,GB,83-85,OTT,GB'er,50,50,254,212,87,16,2,8,56,78,30,13,26,0.41,0.488,0.618,69.2,13.6,0.208,0.465,1.106,0.409,0,3.3,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$2k,Extremely Hard,Average,Career,
30174,C,40,Hack Allen,,20,USA,"Yakima, WA","6' 1""",180 lbs,Switch,Right,Portland Tech,-,Great,CO Junior,1,FB,80-83,4-Mar,Normal,211,211,1066,916,272,37,4,29,165,237,123,85,70,0.297,0.382,0.441,169.2,6.8,0.144,0.363,0.823,0.299,0,4.3,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Normal,Average,Career,
30530,CF,2,Leo Anderson,,21,USA,"Chester, PA","5' 10""",175 lbs,Right,Right,Baton Rouge State,-,Great,CO Junior,1,EX FB,85-87,OTT,Normal,222,222,1128,996,324,63,20,10,183,255,104,60,93,0.325,0.39,0.459,205,7.6,0.134,0.369,0.849,0.337,0,5.2,0,156,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$420 ,Normal,Average,Career,
29056,SP,24,Jorge Arellano,Georgie,18,CUB,"Palmira, CIE","6' 0""",165 lbs,Left,Left,Dowagiac,Gates University,Average,HS Senior,3,GB,84-86,OTT,GB'er,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,18,2,0,0,0,192,130,3,31,25,36,299,1.17,0.284,0.86,7.9,0.1,6.1,1.7,14,8.3,0,0,0,0,0.9,0,12.1,10.5,$3k,Hard,Average,Career,
30854,SP,22,Jack Armstrong,,20,USA,"Mayfield, PA","6' 2""",170 lbs,Right,Right,Grange College,-,Great,CO Junior,3,NEU,86-88,4-Mar,Normal,18,18,93,90,36,7,2,3,24,33,2,9,12,0.4,0.409,0.622,22.6,10.5,0.222,0.438,1.031,0.418,0,1,0,6,3,112,112,44,33,0,0,0,766.1,707,42,321,301,385,796,3.54,0.285,1.42,13,0.5,8.3,4.5,9.3,2.1,0,0,0,0,3.4,0,17.9,17.7,Slot,Normal,Average,Career,
30512,LF,19,Jim Arnold,,21,USA,"Hartselle, AL","6' 0""",180 lbs,Left,Left,Lakeland State,-,Average,CO Junior,1,FB,84-86,OTT,Normal,226,226,1149,968,325,61,4,43,236,296,128,101,108,0.336,0.428,0.54,244.2,9.8,0.205,0.418,0.968,0.338,0,10.2,0,31,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$900 ,Hard,Average,Career,
29588,3B,26,Harry Arthur,,18,USA,"Chicago, IL","6' 0""",175 lbs,Right,Right,Fenway,Quincy College,Average,HS Senior,1,EX FB,83-85,4-Mar,Normal,98,98,494,433,195,44,5,16,125,172,49,24,65,0.45,0.507,0.686,158.2,17,0.236,0.504,1.193,0.452,0,8.1,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$2k,Hard,Average,Career,
