ID,POS,#,Name,Nickname,Age,NAT,City,HT,WT,B,T,Schl,CommSch,COMP,HSC,PIT,G/F,VELO,Slot,PT,G,GS,PA,AB,H,2B,3B,HR,RBI,R,BB,SO,EBH,AVG,OBP,SLG,RC,RC/27,ISO,wOBA,OPS,BABIP,WPA,WAR,PI/PA,SB,CS,G,GS,W,L,SV,BS,HLD,IP,HA,HR,R,ER,BB,K,ERA,BABIP,WHIP,RA/9,HR/9,H/9,BB/9,K/9,K/BB,QS,CG,SHO,GO%,FIP,WPA,WAR,rWAR,DEM,Sign,SctAcc,Year,Notes
28905,SS,12,Alberto Acuna,,14,USA,"Chicago, IL","5' 10""",140 lbs,Right,Right,Hobart,-,Average,HS Sophomore,1,GB,84-86,4-Mar,GB'er,25,25,127,118,48,7,1,2,29,45,4,7,10,0.407,0.425,0.534,27.7,8.9,0.127,0.415,0.959,0.411,0,1.1,0,30,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,Easy,Average,Career,
28893,SS,19,Johnny Adamczyk,,14,USA,"Berkeley, CA","5' 7""",130 lbs,Right,Right,University,-,Average,HS Sophomore,1,NEU,84-86,4-Mar,Normal,25,25,125,109,47,10,6,4,32,37,14,8,20,0.431,0.504,0.743,43.9,17.7,0.312,0.524,1.247,0.443,0,2.3,0,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,Easy,Average,Career,
28971,SS,16,Phil Allen,,14,USA,"San Jose, CA","5' 9""",140 lbs,Right,Right,Napa,-,Average,HS Sophomore,1,EX FB,85-87,4-Mar,Normal,24,24,124,104,44,8,3,1,24,41,13,4,12,0.423,0.496,0.587,33.8,13.4,0.163,0.465,1.082,0.426,0,1.6,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,Easy,Average,Career,
28933,RP,3,Bill Anderson,,15,USA,"Chicago, IL","6' 5""",175 lbs,Right,Right,Westcott Vocational,-,Average,HS Sophomore,3,NEU,86-88,OTT,Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,4,2,0,0,0,66.1,54,2,15,14,18,73,1.9,0.254,1.09,10,0.3,7.3,2.4,9.9,4.1,0,0,0,0,2.3,0,2.4,2.8,-,Easy,Average,Career,
28957,RP,34,Harry Andreen,,14,USA,"Canton, OH","5' 9""",140 lbs,Right,Right,Brentwood,-,Average,HS Sophomore,3,FB,87-89,4-Mar,Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,3,1,1,0,0,52.1,42,1,15,12,15,63,2.06,0.281,1.09,10.1,0.2,7.2,2.6,10.8,4.2,0,0,0,0,2.02,0,2,1.8,-,Easy,Average,Career,
28860,C,2,Harry Arms,,14,USA,"Cranston, RI","6' 2""",180 lbs,Left,Left,New Bedford,-,Average,HS Sophomore,1,FB,84-86,4-Mar,Normal,26,26,133,115,49,9,0,1,27,40,14,6,10,0.426,0.504,0.53,33.6,13.6,0.104,0.461,1.034,0.444,0,1.7,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,Easy,Average,Career,
28977,2B,17,Dee Baker,,14,USA,"Philadelphia, PA","6' 1""",160 lbs,Left,Right,Central,-,Average,HS Sophomore,1,EX FB,83-85,4-Mar,Normal,24,24,124,108,53,15,5,3,30,45,9,6,23,0.491,0.525,0.806,47.8,20.1,0.315,0.542,1.33,0.49,0,2.4,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,Easy,Average,Career,
28963,CF,8,Glenn Baker,,14,USA,"Santa Fe, NM","6' 0""",165 lbs,Left,Left,Wilkesboro,-,Average,HS Sophomore,1,NEU,83-85,4-Mar,Normal,26,26,133,112,47,10,1,2,31,40,17,5,13,0.42,0.485,0.58,34.7,12.3,0.161,0.456,1.065,0.417,0,1.6,0,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,Easy,Average,Career,
28941,3B,22,Ed Barnard,,14,USA,"Perryton, TX","6' 0""",170 lbs,Right,Right,Dodge City,-,Average,HS Sophomore,1,NEU,83-85,4-Mar,Normal,28,28,140,117,50,10,0,4,34,39,15,4,14,0.427,0.489,0.615,38,13.5,0.188,0.464,1.104,0.411,0,1.8,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,Easy,Average,Career,
29963,SP,20,Jack Barnes,,18,USA,"Philadelphia, PA","5' 11""",155 lbs,Right,Right,St. Pancras College,-,Average,CO Freshman,4,NEU,83-85,OTT,Normal,35,35,177,168,63,17,4,0,42,49,3,9,21,0.375,0.391,0.524,34.5,8.3,0.149,0.389,0.915,0.394,0,1.1,0,5,3,59,59,32,9,0,0,0,403,356,8,120,109,143,369,2.43,0.265,1.24,11.3,0.2,8,3.2,8.2,2.6,0,0,0,0,2.74,0,12.7,14.3,-,Easy,Average,Career,
